Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q6IQ26;Q6IQ26-2	Q6IQ26;Q6IQ26-2	-1,1455235302863147	1,1455235302863147	0,022742436410931422	0,040120916422135805	12	Q6IQ26;Q6IQ26-2	DENND5A	DENN domain-containing protein 5A;Isoform 2 of DENN domain-containing protein 5A	DEN5A_HUMAN	5	-54,79743736457523	0,45202562635424776	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P25205;P25205-2	P25205;P25205-2	-0,7291979765482296	0,7291979765482296	0,023445882664072257	0,04088657396687272	12	P25205;P25205-2	MCM3	DNA replication licensing factor MCM3;Isoform 2 of DNA replication licensing factor MCM3	MCM3_HUMAN	5	-39,67608264531759	0,6032391735468241	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8N697	Q8N697	-0,6984688119902059	0,6984688119902059	0,02360962046735156	0,041079941210079	12	Q8N697	SLC15A4	Solute carrier family 15 member 4	S15A4_HUMAN	4	-38,37741159263823	0,6162258840736177	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P78563;P78563-2;P78563-3;P78563-4;P78563-5;P78563-6	P78563;P78563-2;P78563-3;P78563-4;P78563-5;P78563-6	-1,0982815051991086	1,0982815051991086	0,023987642053590177	0,041457294920162216	5	P78563;P78563-2;P78563-3;P78563-4;P78563-5;P78563-6	ADARB1	Double-stranded RNA-specific editase 1;Isoform 2 of Double-stranded RNA-specific editase 1;Isoform 3 of Double-stranded RNA-specific editase 1;Isoform 4 of Double-stranded RNA-specific editase 1;Isoform 5 of Double-stranded RNA-specific editase 1;Isoform 6 of Double-stranded RNA-specific editase 1	RED1_HUMAN	1	-53,29274727602748	0,46707252723972525	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05106;P05106-2;P05106-3	P05106;P05106-2;P05106-3	-0,7376035007482906	0,7376035007482906	0,02416531840744202	0,04163601231245338	12	P05106;P05106-2;P05106-3	ITGB3	Integrin beta-3;Isoform Beta-3B of Integrin beta-3;Isoform Beta-3C of Integrin beta-3	ITB3_HUMAN	8	-40,02652392454681	0,5997347607545319	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P29728;P29728-2	P29728;P29728-2	-0,6997799622035847	0,6997799622035847	0,024418467466996933	0,041857783264485714	12	P29728;P29728-2	OAS2	2'-5'-oligoadenylate synthase 2;Isoform p69 of 2'-5'-oligoadenylate synthase 2	OAS2_HUMAN	5	-38,433389996974086	0,6156661000302591	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13613	Q13613	1,5447057297439344	1,5447057297439344	0,024441483394093123	0,04186411178904431	12	Q13613	MTMR1	Myotubularin-related protein 1	MTMR1_HUMAN	7	191,7445548837287	2,917445548837287	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96QE2	Q96QE2	-1,191885142490945	1,191885142490945	0,024435504359631408	0,04186411178904431	12	Q96QE2	SLC2A13	Proton myo-inositol cotransporter	MYCT_HUMAN	3	-56,2269487431348	0,43773051256865203	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O75529	O75529	-1,0500165818649507	1,0500165818649507	0,024507537222937328	0,04192225439920128	11	O75529	TAF5L	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	TAF5L_HUMAN	3	-51,70373865837985	0,4829626134162015	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9ULG1	Q9ULG1	-0,7080486580768893	0,7080486580768893	0,024507003933518852	0,04192225439920128	6	Q9ULG1	INO80	Chromatin-remodeling ATPase INO80	INO80_HUMAN	2	-38,78524501763019	0,6121475498236981	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	A8K2U0;A8K2U0-2	A8K2U0;A8K2U0-2	0,6775023507135497	0,6775023507135497	0,02483577769656699	0,04229133648521841	6	A8K2U0;A8K2U0-2	A2ML1	Alpha-2-macroglobulin-like protein 1;Isoform 2 of Alpha-2-macroglobulin-like protein 1	A2ML1_HUMAN	1	59,93684686263219	1,5993684686263219	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9ULD2-6	Q9ULD2-6	-0,6676060164035841	0,6676060164035841	0,025067747205868702	0,04253702229509378	8	Q9ULD2-6	MTUS1	Isoform 6 of Microtubule-associated tumor suppressor 1	MTUS1_HUMAN	1	-37,044951364761616	0,6295504863523839	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9NRY2	Q9NRY2	-0,8176002725435775	0,8176002725435775	0,025092052194030906	0,042553543628909035	12	Q9NRY2	INIP	SOSS complex subunit C	SOSSC_HUMAN	2	-43,261507399002696	0,567384926009973	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96QD9	Q96QD9	-1,142006874574933	1,142006874574933	0,02522718827840679	0,042686454800468156	12	Q96QD9	FYTTD1	UAP56-interacting factor	UIF_HUMAN	3	-54,68711900720496	0,45312880992795035	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q99547	Q99547	-0,6867759142269227	0,6867759142269227	0,025681814200526027	0,043182906024138705	12	Q99547	MPHOSPH6	M-phase phosphoprotein 6	MPH6_HUMAN	3	-37,87593727600851	0,6212406272399149	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q6ZRQ5	Q6ZRQ5	-0,710526421533619	0,710526421533619	0,025719516981491188	0,04320413688555779	12	Q6ZRQ5	MMS22L	Protein MMS22-like	MMS22_HUMAN	2	-38,890288360183234	0,6110971163981677	TLR10_WO	WT_WO	NaN	NaN	NaN
