Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q15651	Q15651	-1,2715191561939225	1,2715191561939225	0,009532928510572986	0,0390650029903477	12	Q15651	HMGN3	High mobility group nucleosome-binding domain-containing protein 3	HMGN3_HUMAN	3	-58,57766335415317	0,41422336645846836	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BRK5	Q9BRK5	-0,6075069340189037	0,6075069340189037	0,009603759333685484	0,039141186896038876	12	Q9BRK5	SDF4	45 kDa calcium-binding protein	CAB45_HUMAN	14	-34,367009893625266	0,6563299010637473	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P31689	P31689	-0,6428241426184853	0,6428241426184853	0,009852030614848246	0,039633687400455975	12	P31689	DNAJA1	DnaJ homolog subfamily A member 1	DNJA1_HUMAN	6	-35,95420054349097	0,6404579945650903	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q16401;Q16401-2	Q16401;Q16401-2	-0,5858429703751715	0,5858429703751715	0,009934090682191631	0,03979709549250279	11	Q16401;Q16401-2	PSMD5	26S proteasome non-ATPase regulatory subunit 5;Isoform 2 of 26S proteasome non-ATPase regulatory subunit 5	PSMD5_HUMAN	3	-33,37400725773997	0,6662599274226003	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UGM3;Q9UGM3-2;Q9UGM3-3;Q9UGM3-4;Q9UGM3-5;Q9UGM3-6;Q9UGM3-7;Q9UGM3-8;Q9UGM3-9	Q9UGM3;Q9UGM3-2;Q9UGM3-3;Q9UGM3-4;Q9UGM3-5;Q9UGM3-6;Q9UGM3-7;Q9UGM3-8;Q9UGM3-9	0,6402224240464153	0,6402224240464153	0,010143517383161813	0,04021647347700698	12	Q9UGM3;Q9UGM3-2;Q9UGM3-3;Q9UGM3-4;Q9UGM3-5;Q9UGM3-6;Q9UGM3-7;Q9UGM3-8;Q9UGM3-9	DMBT1	Deleted in malignant brain tumors 1 protein;Isoform 2 of Deleted in malignant brain tumors 1 protein;Isoform 3 of Deleted in malignant brain tumors 1 protein;Isoform 4 of Deleted in malignant brain tumors 1 protein;Isoform 5 of Deleted in malignant brain tumors 1 protein;Isoform 6 of Deleted in malignant brain tumors 1 protein;Isoform 7 of Deleted in malignant brain tumors 1 protein;Isoform 8 of Deleted in malignant brain tumors 1 protein;Isoform 9 of Deleted in malignant brain tumors 1 protein	DMBT1_HUMAN	1	55,85694295012422	1,5585694295012422	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14195-2	Q14195-2	-0,5916920957134575	0,5916920957134575	0,010209672064402172	0,0403919329806593	12	Q14195-2	DPYSL3	Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3	DPYL3_HUMAN	19	-33,64358249637779	0,6635641750362221	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14257;Q14257-2	Q14257;Q14257-2	-0,9006519671472561	0,9006519671472561	0,010222007937684605	0,040423395026298214	12	Q14257;Q14257-2	RCN2	Reticulocalbin-2;Isoform 2 of Reticulocalbin-2	RCN2_HUMAN	6	-46,43553861588139	0,5356446138411861	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P43007	P43007	1,9086952749223476	1,9086952749223476	0,010285049005784308	0,04054588471927402	8	P43007	SLC1A4	Neutral amino acid transporter A	SATT_HUMAN	1	275,46938415890514	3,7546938415890514	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9NVJ2	Q9NVJ2	0,9418396946744844	0,9418396946744844	0,01029834170976349	0,04056683061721036	12	Q9NVJ2	ARL8B	ADP-ribosylation factor-like protein 8B	ARL8B_HUMAN	3	92,09762664156767	1,9209762664156766	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96EU7	Q96EU7	-1,9244430872067175	1,9244430872067175	0,010523392817144423	0,04112149515241774	5	Q96EU7	C1GALT1C1	C1GALT1-specific chaperone 1	C1GLC_HUMAN	1	-73,65580661144739	0,2634419338855261	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14108	Q14108	0,6679858705817753	0,6679858705817753	0,010533251788898695	0,04112516850009473	12	Q14108	SCARB2	Lysosome membrane protein 2	SCRB2_HUMAN	2	58,88532392585317	1,5888532392585317	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O60502;O60502-4	O60502;O60502-4	-0,8471556808748415	0,8471556808748415	0,010593358366005712	0,04127247606730236	10	O60502;O60502-4	OGA	Protein O-GlcNAcase;Isoform 4 of Protein O-GlcNAcase	OGA_HUMAN	2	-44,41204093109593	0,5558795906890407	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P40306	P40306	-0,9331382368432789	0,9331382368432789	0,011009023459940478	0,042266950186332676	12	P40306	PSMB10	Proteasome subunit beta type-10	PSB10_HUMAN	2	-47,62821207045359	0,5237178792954641	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y5G0;Q9Y5G0-2	Q9Y5G0;Q9Y5G0-2	1,025200311833758	1,025200311833758	0,0111235993844827	0,04254742161912047	12	Q9Y5G0;Q9Y5G0-2	PCDHGB5	Protocadherin gamma-B5;Isoform 2 of Protocadherin gamma-B5	PCDGH_HUMAN	4	103,52419489430305	2,0352419489430305	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P16112;P16112-2	P16112;P16112-2	0,8926344101224518	0,8926344101224518	0,011160349979993696	0,04261728675590139	12	P16112;P16112-2	ACAN	Aggrecan core protein;Isoform 2 of Aggrecan core protein	PGCA_HUMAN	4	85,65631777925573	1,8565631777925573	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y3Z3	Q9Y3Z3	-0,9677359766238152	0,9677359766238152	0,011259852396853271	0,042731834898675256	12	Q9Y3Z3	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	SAMH1_HUMAN	9	-48,869217031471656	0,5113078296852834	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14766	Q14766	-1,3114209745174519	1,3114209745174519	0,011374334324945215	0,043051241978539344	12	Q14766	LTBP1	Latent-transforming growth factor beta-binding protein 1	LTBP1_HUMAN	46	-59,70761734934168	0,4029238265065832	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9NSB2	Q9NSB2	-1,1078912412943505	1,1078912412943505	0,011376694502461546	0,043051241978539344	12	Q9NSB2	KRT84	Keratin, type II cuticular Hb4	KRT84_HUMAN	1	-53,60282862084388	0,4639717137915612	TLR10_Light	WT_Light	NaN	NaN	NaN
