Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q9H0A0;Q9H0A0-2	Q9H0A0;Q9H0A0-2	-1,0923282210427854	1,0923282210427854	0,01153776648029774	0,04083589884228832	10	Q9H0A0;Q9H0A0-2	NAT10	RNA cytidine acetyltransferase;Isoform 2 of RNA cytidine acetyltransferase	NAT10_HUMAN	2	-53,09961148470066	0,46900388515299346	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P18085	P18085	-0,7021070226236563	0,7021070226236563	0,011620700402381069	0,040950023336853075	12	P18085	ARF4	ADP-ribosylation factor 4	ARF4_HUMAN	6	-38,53261660625993	0,6146738339374007	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UI30;Q9UI30-2	Q9UI30;Q9UI30-2	0,6287361732209573	0,6287361732209573	0,011665357961235724	0,04102504494540352	9	Q9UI30;Q9UI30-2	TRMT112	Multifunctional methyltransferase subunit TRM112-like protein;Isoform 2 of Multifunctional methyltransferase subunit TRM112-like protein	TR112_HUMAN	2	54,62098924335754	1,5462098924335754	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z304	Q7Z304	0,6015181198346425	0,6015181198346425	0,011756960710267743	0,04119555983837064	12	Q7Z304	MAMDC2	MAM domain-containing protein 2	MAMC2_HUMAN	9	51,73123649378193	1,5173123649378193	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O95239	O95239	-1,772884772940284	1,772884772940284	0,01193682419918653	0,04144372453896741	12	O95239	KIF4A	Chromosome-associated kinesin KIF4A	KIF4A_HUMAN	2	-70,73769689646272	0,2926230310353728	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P42330	P42330	-1,157737097730467	1,157737097730467	0,01195254582565001	0,041470137255950903	12	P42330	AKR1C3	Aldo-keto reductase family 1 member C3	AK1C3_HUMAN	5	-55,17849794485996	0,4482150205514004	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q86UK5;Q86UK5-3	Q86UK5;Q86UK5-3	-0,7846697128794177	0,7846697128794177	0,012170456672678288	0,041847428866880025	12	Q86UK5;Q86UK5-3	EVC2	Limbin;Isoform 3 of Limbin	LBN_HUMAN	2	-41,95151632218084	0,5804848367781916	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8N8Z6;Q8N8Z6-2	Q8N8Z6;Q8N8Z6-2	-0,8917934752797393	0,8917934752797393	0,012274708015514824	0,04203147808138431	12	Q8N8Z6;Q8N8Z6-2	DCBLD1	Discoidin, CUB and LCCL domain-containing protein 1;Isoform 2 of Discoidin, CUB and LCCL domain-containing protein 1	DCBD1_HUMAN	7	-46,10562821140953	0,5389437178859047	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P39687	P39687	-1,5514122553088032	1,5514122553088032	0,012417775464271493	0,042235356683836454	12	P39687	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	AN32A_HUMAN	4	-65,88240767094248	0,3411759232905752	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H2J4	Q9H2J4	-1,013363087719704	1,013363087719704	0,012476349935535353	0,04237345488193256	12	Q9H2J4	PDCL3	Phosducin-like protein 3	PDCL3_HUMAN	2	-50,46099104816828	0,4953900895183172	TLR10_Light	WT_Light	NaN	NaN	NaN
