Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P16401	P16401	1,5267982944841338	1,5267982944841338	0,0034621659722056386	0,014553348758824197	12	P16401	H1-5	Histone H1.5	H15_HUMAN	8	188,14566084257098	2,88145660842571	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9H6N6	Q9H6N6	-0,8938299061377614	0,8938299061377614	0,003500801460507675	0,014602432486316526	12	Q9H6N6	MYH16	Putative uncharacterized protein MYH16	MYH16_HUMAN	1	-46,18164894689386	0,5381835105310614	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P23528	P23528	0,6513506931804033	0,6513506931804033	0,0035196118402648353	0,01462244005474935	12	P23528	CFL1	Cofilin-1	COF1_HUMAN	25	57,063798475301255	1,5706379847530125	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8N2S1-2	Q8N2S1-2	-0,649768896036772	0,649768896036772	0,00352877364409871	0,01462244005474935	12	Q8N2S1-2	LTBP4	Isoform 2 of Latent-transforming growth factor beta-binding protein 4	LTBP4_HUMAN	33	-36,26175928287174	0,6373824071712826	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O95208;O95208-2;O95208-3;O95208-5	O95208;O95208-2;O95208-3;O95208-5	0,6211987022337435	0,6211987022337435	0,0035341814436890004	0,014624099190524664	12	O95208;O95208-2;O95208-3;O95208-5	EPN2	Epsin-2;Isoform 2 of Epsin-2;Isoform 3 of Epsin-2;Isoform 4 of Epsin-2	EPN2_HUMAN	3	53,815266628421085	1,5381526662842109	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96G03	Q96G03	-1,1077743238765678	1,1077743238765678	0,0035332197405488343	0,014624099190524664	12	Q96G03	PGM2	Phosphoglucomutase-2	PGM2_HUMAN	15	-53,59906839631186	0,46400931603688145	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96EY8	Q96EY8	-1,874405073065262	1,874405073065262	0,0035375665478769775	0,01462762413592276	10	Q96EY8	MMAB	Corrinoid adenosyltransferase	MMAB_HUMAN	2	-72,72606199564059	0,2727393800435941	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P02753	P02753	0,7408582535541847	0,7408582535541847	0,003566147461580596	0,014666458497063951	12	P02753	RBP4	Retinol-binding protein 4	RET4_HUMAN	7	67,11697154321328	1,6711697154321328	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y625	Q9Y625	1,0466303021067738	1,0466303021067738	0,003582449243340754	0,014704684082446106	12	Q9Y625	GPC6	Glypican-6	GPC6_HUMAN	11	106,56993616406369	2,065699361640637	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UPT8	Q9UPT8	-0,6248845042302461	0,6248845042302461	0,0035870533686618404	0,01470919686201636	12	Q9UPT8	ZC3H4	Zinc finger CCCH domain-containing protein 4	ZC3H4_HUMAN	3	-35,152831098357396	0,648471689016426	TLR10_WO	WT_WO	NaN	NaN	NaN
